sep=,
Epoch,Training Error,Validation Error
1,0.358927,0.297393
2,0.293506,0.255476
3,0.254931,0.241003
4,0.242827,0.234331
5,0.237258,0.230645
6,0.234012,0.227963
7,0.231398,0.225438
8,0.228729,0.222731
9,0.225739,0.219653
10,0.222281,0.216090
11,0.218259,0.211960
12,0.213620,0.207251
13,0.208381,0.202085
14,0.202728,0.196692
15,0.196924,0.191292
16,0.191191,0.186010
17,0.185622,0.180878
18,0.180256,0.175984
19,0.175180,0.171377
20,0.170515,0.167138
21,0.166258,0.163184
22,0.162336,0.159518
23,0.158676,0.156034
24,0.155229,0.152769
25,0.151964,0.149638
26,0.148861,0.146686
27,0.145904,0.143846
28,0.143085,0.141159
29,0.140396,0.138576
30,0.137828,0.136125
31,0.135378,0.133773
32,0.133038,0.131534
33,0.130806,0.129391
34,0.128675,0.127348
35,0.126641,0.125396
36,0.124702,0.123532
37,0.122852,0.121753
38,0.121088,0.120055
39,0.119406,0.118433
40,0.117803,0.116886
41,0.116275,0.115409
42,0.114818,0.113999
43,0.113430,0.112654
44,0.112106,0.111369
45,0.110843,0.110142
46,0.109638,0.108969
47,0.108488,0.107847
48,0.107390,0.106774
49,0.106341,0.105747
50,0.105339,0.104764
51,0.104380,0.103821
52,0.103462,0.102918
53,0.102583,0.102050
54,0.101740,0.101217
55,0.100932,0.100416
56,0.100156,0.099645
57,0.099411,0.098903
58,0.098694,0.098187
59,0.098004,0.097498
60,0.097339,0.096832
61,0.096699,0.096188
62,0.096081,0.095566
63,0.095484,0.094964
64,0.094907,0.094381
65,0.094350,0.093816
66,0.093810,0.093267
67,0.093287,0.092735
68,0.092780,0.092218
69,0.092288,0.091715
70,0.091810,0.091226
71,0.091346,0.090750
72,0.090895,0.090286
73,0.090456,0.089834
74,0.090028,0.089392
75,0.089611,0.088962
76,0.089205,0.088541
77,0.088809,0.088130
78,0.088422,0.087728
79,0.088044,0.087335
80,0.087675,0.086951
81,0.087314,0.086574
82,0.086961,0.086205
83,0.086615,0.085844
84,0.086277,0.085489
85,0.085945,0.085142
86,0.085621,0.084801
87,0.085303,0.084466
88,0.084991,0.084137
89,0.084685,0.083815
90,0.084385,0.083498
91,0.084090,0.083186
92,0.083801,0.082880
93,0.083517,0.082579
94,0.083239,0.082284
95,0.082965,0.081992
96,0.082695,0.081706
97,0.082431,0.081424
98,0.082171,0.081147
99,0.081915,0.080874
100,0.081663,0.080606
101,0.081416,0.080341
102,0.081172,0.080080
103,0.080933,0.079823
104,0.080697,0.079571
105,0.080465,0.079321
106,0.080237,0.079076
107,0.080012,0.078834
108,0.079791,0.078596
109,0.079573,0.078359
110,0.079359,0.078130
111,0.079147,0.077898
112,0.078939,0.077677
113,0.078734,0.077448
114,0.078532,0.077241
115,0.078334,0.077008
116,0.078140,0.076836
117,0.077954,0.076587
118,0.077786,0.076548
119,0.077668,0.076367
120,0.077716,0.077238
121,0.078327,0.079007
122,0.080940,0.088961
123,0.090412,0.116153
124,0.121813,0.169844
125,0.176048,0.127644
126,0.129344,0.091719
127,0.091794,0.081065
128,0.081463,0.079227
129,0.079658,0.078595
130,0.079206,0.078272
131,0.078887,0.077897
132,0.078599,0.077626
133,0.078329,0.077291
134,0.078072,0.077041
135,0.077825,0.076730
136,0.077589,0.076501
137,0.077361,0.076203
138,0.077143,0.076002
139,0.076934,0.075710
140,0.076734,0.075550
141,0.076544,0.075253
142,0.076367,0.075166
143,0.076209,0.074859
144,0.076085,0.074959
145,0.076029,0.074713
146,0.076122,0.075481
147,0.076553,0.075952
148,0.077765,0.079596
149,0.080756,0.084909
150,0.087867,0.101559
151,0.103768,0.113592
152,0.118677,0.108495
153,0.109690,0.086578
154,0.087858,0.078839
155,0.079516,0.076515
156,0.077436,0.076088
157,0.076826,0.075469
158,0.076498,0.075391
159,0.076244,0.074906
160,0.076016,0.074891
161,0.075824,0.074442
162,0.075648,0.074517
163,0.075514,0.074085
164,0.075413,0.074339
