sep=,
Epoch,Training Error,Validation Error
1,0.943119,0.401889
2,0.381058,0.250126
3,0.249064,0.275786
4,0.275597,0.267307
5,0.262883,0.295098
6,0.295042,0.259024
7,0.253625,0.283303
8,0.283978,0.247809
9,0.243054,0.269425
10,0.269829,0.233992
11,0.231110,0.255189
12,0.254713,0.221437
13,0.221113,0.242892
14,0.241573,0.211985
15,0.214472,0.234025
16,0.232149,0.204115
17,0.209277,0.225219
18,0.223313,0.196017
19,0.203309,0.213083
20,0.211474,0.187458
21,0.195571,0.197239
22,0.195829,0.179098
23,0.186786,0.181780
24,0.180366,0.169826
25,0.176151,0.168985
26,0.167461,0.163199
27,0.167428,0.159599
28,0.158006,0.160502
29,0.161388,0.158041
30,0.156920,0.159604
31,0.155816,0.177899
32,0.180673,0.233591
33,0.222946,0.269907
34,0.279526,0.274066
35,0.264690,0.228589
36,0.240454,0.221686
37,0.218950,0.185359
38,0.200302,0.204295
39,0.205634,0.172345
40,0.188664,0.204425
41,0.207286,0.178350
42,0.192592,0.194723
43,0.196575,0.169245
44,0.179007,0.164624
45,0.165126,0.149375
46,0.154789,0.140743
47,0.140510,0.135194
48,0.137313,0.127096
49,0.126693,0.128647
50,0.128249,0.122922
51,0.122805,0.130060
52,0.127470,0.127562
53,0.128388,0.139633
54,0.135158,0.138527
55,0.141033,0.148069
56,0.142904,0.125480
57,0.129062,0.115773
58,0.113410,0.109776
59,0.113031,0.114111
60,0.112075,0.107697
61,0.111136,0.112272
62,0.110565,0.105603
63,0.109107,0.110354
64,0.108959,0.103634
65,0.107122,0.108511
66,0.107387,0.101902
67,0.105326,0.106278
68,0.105387,0.099603
69,0.102770,0.103320
70,0.102600,0.097110
71,0.099885,0.100502
72,0.099869,0.095253
73,0.097699,0.098376
74,0.097759,0.093828
75,0.096003,0.096420
76,0.095775,0.092249
77,0.094106,0.094601
78,0.093899,0.091013
79,0.092628,0.093226
80,0.092448,0.090028
81,0.091462,0.092180
82,0.091316,0.089245
83,0.090549,0.091400
84,0.090443,0.088632
