Epoch	Training Error	Validation Error
1	0,615501	0,305319
2	0,291491	0,373701
3	0,365024	0,427003
4	0,441929	0,600974
5	0,579726	0,394883
6	0,417170	0,547515
7	0,517346	0,364322
8	0,385000	0,469691
9	0,442394	0,320954
10	0,338661	0,408175
11	0,384128	0,279298
12	0,293772	0,358641
13	0,338776	0,246496
14	0,257623	0,318391
15	0,303750	0,228821
16	0,234880	0,293728
17	0,284926	0,304315
18	0,293561	0,420211
19	0,417394	0,421248
20	0,392260	0,243408
21	0,241509	0,424226
22	0,397426	0,301366
23	0,299559	0,386586
24	0,361627	0,280967
25	0,279493	0,358217
26	0,335332	0,263265
27	0,262040	0,333162
28	0,312224	0,248222
29	0,247249	0,311513
30	0,292307	0,235125
31	0,234417	0,292812
32	0,275136	0,223710
33	0,223278	0,275377
34	0,259064	0,214119
35	0,214000	0,256947
36	0,241802	0,206435
37	0,206695	0,238990
38	0,224705	0,199954
39	0,200658	0,222281
40	0,208541	0,194503
41	0,195691	0,207272
42	0,193822	0,189889
43	0,191591	0,197879
44	0,184201	0,188896
45	0,191211	0,191696
46	0,177596	0,155333
47	0,157496	0,165582
48	0,152994	0,173647
49	0,177409	0,178003
50	0,163702	0,175803
51	0,180570	0,177736
52	0,163595	0,167828
53	0,173154	0,173523
54	0,160310	0,156391
55	0,161932	0,166121
56	0,154160	0,143672
57	0,149062	0,154814
58	0,144222	0,132482
59	0,137472	0,144278
60	0,134756	0,123084
61	0,127487	0,133510
62	0,124938	0,114442
63	0,118087	0,122899
64	0,115245	0,106740
65	0,109543	0,113526
66	0,106756	0,100372
67	0,102336	0,105781
68	0,099857	0,095404
69	0,096575	0,099759
70	0,094610	0,091833
71	0,092305	0,095341
72	0,090857	0,089422
73	0,089315	0,092225
74	0,088292	0,087845
75	0,087271	0,090042
76	0,086559	0,086837
77	0,085891	0,088520
78	0,085402	0,086232
79	0,084991	0,087499
80	0,084679	0,085991
81	0,084504	0,086968
82	0,084402	0,086277
83	0,084567	0,087195
84	0,084851	0,087571
85	0,085623	0,088613
86	0,086484	0,090358
87	0,088139	0,091731
88	0,089793	0,094932
89	0,092454	0,096572
90	0,094789	0,095539
91	0,093026	0,091694
92	0,090010	0,094139
93	0,091506	0,094847
94	0,093211	0,097594
95	0,094880	0,097582
96	0,096000	0,099474
97	0,096733	0,098189
98	0,096649	0,098731
99	0,096021	0,096857
100	0,095331	0,097359
101	0,094678	0,095608
102	0,094089	0,096097
103	0,093447	0,094450
104	0,092938	0,094943
105	0,092322	0,093394
106	0,091886	0,093900
107	0,091306	0,092442
108	0,090941	0,092966
109	0,090395	0,091595
110	0,090100	0,092142
111	0,089592	0,090855
112	0,089367	0,091430
113	0,088898	0,090221
114	0,088740	0,090830
115	0,088313	0,089688
116	0,088216	0,090337
117	0,087830	0,089259
118	0,087795	0,089952
119	0,087452	0,088936
120	0,087482	0,089678
121	0,087181	0,088340
122	0,086897	0,088740
123	0,086270	0,087502
124	0,086059	0,087965
125	0,085517	0,086817
126	0,085377	0,087343
127	0,084911	0,086277
128	0,084842	0,086866
129	0,084445	0,085876
130	0,084448	0,086532
131	0,084115	0,085297
132	0,083877	0,085692
133	0,083302	0,084561
134	0,083140	0,085024
135	0,082654	0,083983
136	0,082565	0,084513
137	0,082158	0,083553
138	0,082139	0,084154
139	0,081804	0,083266
140	0,081861	0,083944
141	0,081594	0,082853
142	0,081457	0,083319
143	0,080990	0,082320
144	0,080927	0,082859
145	0,080542	0,081939
146	0,080552	0,082555
147	0,080243	0,081456
148	0,080076	0,081884
149	0,079596	0,080882
150	0,079504	0,081385
151	0,079112	0,080464
152	0,079092	0,081045
153	0,078779	0,080197
154	0,078833	0,080862
155	0,078595	0,077732
156	0,076359	0,078203
157	0,076054	0,077382
158	0,075999	0,077895
159	0,075764	0,077141
160	0,075759	0,077714
161	0,075586	0,077016
162	0,075643	0,077668
163	0,075533	0,076863
164	0,075503	0,077425
165	0,075295	0,076678
166	0,075329	0,077319
167	0,075185	0,076457
168	0,075120	0,076997
169	0,074872	0,076199
170	0,074871	0,076814
171	0,074690	0,076075
172	0,074760	0,076783
173	0,074650	0,075920
174	0,074620	0,076522
175	0,074396	0,075725
176	0,074436	0,076415
177	0,074286	0,075491
178	0,074215	0,076065
179	0,073947	0,075213
180	0,073946	0,075870
181	0,073754	0,075085
182	0,073831	0,075838
183	0,073714	0,074919
184	0,073678	0,075554
185	0,073437	0,074709
186	0,073479	0,075436
187	0,073317	0,074456
188	0,073238	0,075058
189	0,072950	0,074158
190	0,072948	0,074849
191	0,072743	0,074021
192	0,072822	0,074813
193	0,072698	0,071946
194	0,070735	0,072530
195	0,070526	0,071737
196	0,070521	0,072382
197	0,070382	0,071650
198	0,070440	0,072380
199	0,070370	0,071555
200	0,070355	0,072214
