sep=,
Epoch,Training Error,Validation Error
1,0.519792,0.462685
2,0.454458,0.386795
3,0.382954,0.310625
4,0.305891,0.230806
5,0.220982,0.213699
6,0.197992,0.191586
7,0.185270,0.203732
8,0.186286,0.166303
9,0.161582,0.169656
10,0.155074,0.144203
11,0.138301,0.143273
12,0.132355,0.130618
13,0.124911,0.127882
14,0.120399,0.120929
15,0.116277,0.117900
16,0.112989,0.113606
17,0.110100,0.110876
18,0.107589,0.107912
19,0.105355,0.105582
20,0.103353,0.103339
21,0.101551,0.101416
22,0.099925,0.099649
23,0.098453,0.098071
24,0.097109,0.096620
25,0.095872,0.095294
26,0.094725,0.094070
27,0.093659,0.092939
28,0.092662,0.091886
29,0.091726,0.090902
30,0.090842,0.089978
31,0.090005,0.089107
32,0.089208,0.088283
33,0.088448,0.087500
34,0.087721,0.086755
35,0.087024,0.086043
36,0.086353,0.085361
37,0.085708,0.084706
38,0.085085,0.084075
39,0.084482,0.083466
40,0.083899,0.082878
41,0.083334,0.082309
42,0.082786,0.081757
43,0.082253,0.081221
44,0.081736,0.080701
45,0.081234,0.080195
46,0.080746,0.079703
47,0.080272,0.079224
48,0.079811,0.078757
49,0.079363,0.078301
50,0.078926,0.077856
51,0.078499,0.077419
52,0.078082,0.076992
53,0.077674,0.076573
54,0.077274,0.076162
55,0.076883,0.075758
56,0.076500,0.075361
57,0.076123,0.074970
58,0.075753,0.074584
59,0.075390,0.074204
60,0.075032,0.073830
61,0.074680,0.073461
62,0.074334,0.073097
63,0.073993,0.072738
64,0.073658,0.072385
65,0.073328,0.072036
66,0.073003,0.071692
67,0.072683,0.071352
68,0.072368,0.071017
69,0.072057,0.070687
70,0.071750,0.070361
71,0.071449,0.070040
72,0.071151,0.069723
73,0.070858,0.069412
74,0.070570,0.069104
75,0.070286,0.068802
76,0.070006,0.068504
77,0.069731,0.068212
78,0.069460,0.067923
79,0.069193,0.067640
80,0.068929,0.067360
81,0.068670,0.067086
82,0.068415,0.066815
83,0.068164,0.066549
84,0.067916,0.066286
85,0.067673,0.066028
86,0.067433,0.065773
87,0.067196,0.065522
88,0.066963,0.065274
89,0.066733,0.065031
90,0.066507,0.064790
91,0.066284,0.064553
92,0.066065,0.064319
93,0.065849,0.064089
94,0.065636,0.063862
95,0.065427,0.063638
96,0.065221,0.063417
97,0.065018,0.063200
98,0.064818,0.062984
99,0.064621,0.062774
100,0.064428,0.062564
101,0.064237,0.062362
102,0.064049,0.062156
103,0.063864,0.061961
104,0.063682,0.061758
105,0.063502,0.061574
106,0.063325,0.061370
107,0.063151,0.061204
108,0.062980,0.060992
109,0.062815,0.060865
110,0.062659,0.060640
111,0.062521,0.060635
112,0.062427,0.060449
113,0.062435,0.060965
114,0.062726,0.061338
115,0.063603,0.064524
116,0.066318,0.068806
117,0.072148,0.086382
118,0.089048,0.100632
119,0.107452,0.133405
120,0.137576,0.092354
121,0.096275,0.074314
122,0.076212,0.062856
123,0.064983,0.061912
124,0.063654,0.061085
125,0.063021,0.060891
126,0.062636,0.060428
127,0.062310,0.060292
128,0.062042,0.059938
129,0.061800,0.059822
