sep=,
Epoch,Training Error,Validation Error
1,0.914180,0.330932
2,0.333629,0.269577
3,0.263427,0.254346
4,0.259919,0.261973
5,0.255497,0.246062
6,0.252302,0.253545
7,0.248145,0.239466
8,0.246199,0.246299
9,0.241972,0.233845
10,0.241109,0.239752
11,0.236408,0.228749
12,0.236529,0.233524
13,0.231104,0.223347
14,0.231458,0.226364
15,0.224888,0.217706
16,0.226020,0.219062
17,0.218602,0.212337
18,0.220779,0.211852
19,0.212583,0.207866
20,0.216261,0.205380
21,0.207614,0.205884
22,0.213833,0.200950
23,0.204830,0.207362
24,0.214440,0.198067
25,0.203329,0.209561
26,0.215800,0.195021
27,0.201156,0.209462
28,0.215239,0.191351
29,0.197956,0.207186
30,0.212859,0.187463
31,0.194382,0.204064
32,0.209793,0.183633
33,0.190837,0.187593
34,0.193018,0.179042
35,0.186408,0.197094
36,0.203049,0.177090
37,0.185011,0.195897
38,0.201695,0.173542
39,0.181602,0.191782
40,0.197460,0.170098
41,0.178170,0.187410
42,0.192984,0.166890
43,0.174920,0.183210
44,0.188665,0.163902
45,0.171829,0.179105
46,0.184416,0.161085
47,0.168879,0.175010
48,0.180136,0.158441
49,0.166083,0.170963
50,0.175881,0.155843
51,0.163304,0.166848
52,0.171543,0.153290
53,0.160572,0.162737
54,0.167195,0.150759
55,0.157871,0.143803
56,0.147838,0.142901
57,0.149654,0.151540
58,0.155688,0.145936
59,0.152820,0.152127
60,0.155906,0.144615
61,0.151436,0.149134
62,0.152627,0.141819
63,0.148462,0.144496
64,0.147776,0.138253
65,0.144689,0.140868
66,0.143979,0.136440
67,0.142772,0.139081
68,0.142004,0.135291
69,0.141552,0.137907
70,0.140625,0.134192
71,0.140379,0.136709
72,0.139224,0.132842
73,0.138934,0.135142
74,0.137469,0.131066
75,0.137043,0.133092
76,0.135255,0.128869
77,0.134714,0.130639
78,0.132658,0.126371
79,0.132080,0.127960
80,0.129854,0.123618
81,0.129194,0.125129
82,0.126922,0.120664
83,0.126107,0.122177
84,0.123882,0.117637
85,0.122953,0.119273
86,0.120902,0.114719
87,0.119918,0.116558
88,0.118116,0.112013
89,0.117106,0.114103
90,0.115593,0.109540
91,0.114538,0.111929
92,0.113352,0.107356
93,0.112270,0.110066
94,0.111421,0.105478
95,0.110318,0.108519
96,0.109802,0.103898
97,0.108673,0.107281
98,0.108487,0.102597
99,0.107317,0.106313
100,0.107437,0.101536
101,0.106209,0.104602
102,0.105656,0.098919
103,0.103453,0.102134
104,0.103147,0.096727
105,0.101149,0.100160
106,0.101128,0.094991
107,0.099327,0.098711
108,0.099625,0.093714
109,0.097989,0.097022
110,0.097886,0.091536
111,0.095686,0.095048
112,0.095882,0.089917
113,0.093978,0.093067
114,0.093872,0.087714
115,0.091637,0.091048
116,0.091838,0.086154
117,0.089987,0.089213
