sep=,
Epoch,Training Error,Validation Error
1,0.449961,0.358691
2,0.390448,0.322634
3,0.351766,0.293883
4,0.319290,0.261508
5,0.281524,0.224346
6,0.237263,0.192960
7,0.198942,0.173437
8,0.173512,0.166313
9,0.163931,0.159653
10,0.158287,0.154222
11,0.153240,0.149110
12,0.148699,0.144743
13,0.144670,0.140867
14,0.141095,0.137483
15,0.137904,0.134465
16,0.135033,0.131759
17,0.132430,0.129309
18,0.130058,0.127074
19,0.127882,0.125021
20,0.125874,0.123124
21,0.124009,0.121359
22,0.122269,0.119708
23,0.120636,0.118155
24,0.119098,0.116687
25,0.117645,0.115297
26,0.116267,0.113976
27,0.114956,0.112718
28,0.113707,0.111515
29,0.112512,0.110362
30,0.111367,0.109255
31,0.110266,0.108188
32,0.109206,0.107158
33,0.108183,0.106162
34,0.107194,0.105197
35,0.106236,0.104260
36,0.105307,0.103351
37,0.104405,0.102467
38,0.103528,0.101607
39,0.102674,0.100770
40,0.101842,0.099954
41,0.101033,0.099159
42,0.100243,0.098384
43,0.099473,0.097626
44,0.098720,0.096884
45,0.097983,0.096157
46,0.097262,0.095445
47,0.096555,0.094747
48,0.095863,0.094064
49,0.095187,0.093394
50,0.094523,0.092738
51,0.093873,0.092095
52,0.093234,0.091464
53,0.092607,0.090847
54,0.091993,0.090241
55,0.091390,0.089648
56,0.090799,0.089067
57,0.090219,0.088496
58,0.089650,0.087935
59,0.089091,0.087383
60,0.088541,0.086840
61,0.088001,0.086305
62,0.087468,0.085778
63,0.086943,0.085257
64,0.086425,0.084742
65,0.085913,0.084233
66,0.085407,0.083729
67,0.084909,0.083231
68,0.084418,0.082741
69,0.083935,0.082256
70,0.083460,0.081779
71,0.082993,0.081307
72,0.082531,0.080842
73,0.082076,0.080381
74,0.081627,0.079926
75,0.081184,0.079476
76,0.080746,0.079029
77,0.080313,0.078587
78,0.079884,0.078149
79,0.079460,0.077714
80,0.079039,0.077283
81,0.078622,0.076855
82,0.078208,0.076429
83,0.077797,0.076006
84,0.077388,0.075585
85,0.076982,0.075167
86,0.076578,0.074750
87,0.076175,0.074336
88,0.075774,0.073923
89,0.075374,0.073512
90,0.074975,0.073102
91,0.074577,0.072695
92,0.074180,0.072288
93,0.073784,0.071883
94,0.073389,0.071479
95,0.072994,0.071077
96,0.072601,0.070675
97,0.072209,0.070275
98,0.071819,0.069877
99,0.071430,0.069480
100,0.071043,0.069086
101,0.070658,0.068694
102,0.070275,0.068304
103,0.069894,0.067918
104,0.069515,0.067533
105,0.069138,0.067152
106,0.068763,0.066772
107,0.068390,0.066398
108,0.068021,0.066024
109,0.067655,0.065656
110,0.067291,0.065290
111,0.066932,0.064930
112,0.066576,0.064568
113,0.066224,0.064218
114,0.065876,0.063859
115,0.065533,0.063526
116,0.065194,0.063164
117,0.064862,0.062869
118,0.064538,0.062484
119,0.064230,0.062333
120,0.063968,0.061974
