sep=,
Epoch,Training Error,Validation Error
1,0.447789,0.330655
2,0.315250,0.289995
3,0.283524,0.274723
4,0.268981,0.264859
5,0.261761,0.260611
6,0.257711,0.256853
7,0.255176,0.254870
8,0.253362,0.252719
9,0.251920,0.251317
10,0.250681,0.249719
11,0.249553,0.248534
12,0.248476,0.247117
13,0.247413,0.245994
14,0.246329,0.244582
15,0.245199,0.243440
16,0.244001,0.241887
17,0.242716,0.240703
18,0.241334,0.238896
19,0.239857,0.237758
20,0.238297,0.235585
21,0.236678,0.234806
22,0.235070,0.232168
23,0.233542,0.232555
24,0.232301,0.229621
25,0.231584,0.232324
26,0.231411,0.229413
27,0.232267,0.233768
28,0.232393,0.229313
29,0.232793,0.232530
30,0.231097,0.226818
31,0.230412,0.229185
32,0.227908,0.224058
33,0.227777,0.226014
34,0.224941,0.221326
35,0.225212,0.222659
36,0.221849,0.217919
37,0.221873,0.218091
38,0.217606,0.214006
39,0.217927,0.213037
40,0.212940,0.209954
41,0.213770,0.207772
42,0.208111,0.205923
43,0.209561,0.202546
44,0.203354,0.202043
45,0.205456,0.197542
46,0.198822,0.198448
47,0.201616,0.192881
48,0.194637,0.195149
49,0.198055,0.188688
50,0.190931,0.182150
51,0.183858,0.182089
52,0.184431,0.189522
53,0.191924,0.182271
54,0.185573,0.187933
55,0.190096,0.179756
56,0.183454,0.185759
57,0.187698,0.177579
58,0.181578,0.183504
59,0.185226,0.175723
60,0.179984,0.181394
61,0.182899,0.174136
62,0.178624,0.179319
63,0.180610,0.172695
64,0.177363,0.177163
65,0.178239,0.171274
66,0.176063,0.174866
67,0.175727,0.169641
68,0.174482,0.174322
69,0.175090,0.170271
70,0.175397,0.173137
71,0.173737,0.166219
72,0.171037,0.168285
73,0.168592,0.164139
74,0.168896,0.166972
75,0.167165,0.143071
76,0.145495,0.145850
77,0.145021,0.146523
78,0.149903,0.151899
79,0.151298,0.150686
80,0.154721,0.152951
81,0.152363,0.147847
82,0.151711,0.148690
83,0.147906,0.144375
84,0.148059,0.145955
85,0.145068,0.140466
86,0.143874,0.140849
87,0.139772,0.136225
88,0.139377,0.137452
89,0.136288,0.133444
90,0.136471,0.135224
91,0.134038,0.130227
92,0.133032,0.130888
93,0.129596,0.126625
94,0.129209,0.127911
95,0.126578,0.124186
96,0.126656,0.125880
97,0.124551,0.121315
98,0.123575,0.121987
99,0.120578,0.118032
100,0.120066,0.119214
101,0.117782,0.115699
102,0.117592,0.117224
103,0.115805,0.114054
104,0.115869,0.115814
105,0.114434,0.111921
106,0.113566,0.112798
107,0.111376,0.109337
108,0.110783,0.110555
109,0.109135,0.107478
110,0.108798,0.108939
111,0.107550,0.106170
112,0.107424,0.107827
113,0.106490,0.105316
114,0.106548,0.107123
115,0.105858,0.104009
116,0.105140,0.105043
117,0.103769,0.102259
118,0.103255,0.103490
119,0.102237,0.100989
120,0.101904,0.102387
121,0.101179,0.100130
122,0.101008,0.101675
123,0.100531,0.099628
124,0.100507,0.101300
125,0.100239,0.099440
126,0.100350,0.101220
127,0.100254,0.098792
128,0.099657,0.099845
129,0.098888,0.097657
130,0.098434,0.098827
131,0.097902,0.096866
132,0.097594,0.098145
133,0.097272,0.096392
134,0.097106,0.097774
135,0.096970,0.096208
136,0.096940,0.097692
137,0.096972,0.096290
138,0.097067,0.097134
139,0.096452,0.088540
