sep=,
x1,x2,resut,ideal
-3.141593,-3.141593,0.697311,0.000000
-3.078126,-3.141593,0.705935,0.063424
-3.014660,-3.141593,0.714821,0.126592
-2.951193,-3.141593,0.723414,0.189251
-2.887727,-3.141593,0.731786,0.251148
-2.824260,-3.141593,0.740005,0.312033
-2.760794,-3.141593,0.748136,0.371662
-2.697327,-3.141593,0.756245,0.429795
-2.633861,-3.141593,0.764400,0.486197
-2.570394,-3.141593,0.772672,0.540641
-2.506927,-3.141593,0.781138,0.592908
-2.443461,-3.141593,0.789884,0.642788
-2.379994,-3.141593,0.799007,0.690079
-2.316528,-3.141593,0.808616,0.734592
-2.253061,-3.141593,0.818843,0.776146
-2.189595,-3.141593,0.829294,0.814576
-2.126128,-3.141593,0.837430,0.849725
-2.062662,-3.141593,0.843086,0.881453
-1.999195,-3.141593,0.846416,0.909632
-1.935729,-3.141593,0.847539,0.934148
-1.872262,-3.141593,0.846864,0.954902
-1.808796,-3.141593,0.844578,0.971812
-1.745329,-3.141593,0.840694,0.984808
-1.681863,-3.141593,0.835198,0.993838
-1.618396,-3.141593,0.828049,0.998867
-1.554930,-3.141593,0.819176,0.999874
-1.491463,-3.141593,0.808474,0.996855
-1.427997,-3.141593,0.795806,0.989821
-1.364530,-3.141593,0.780987,0.978802
-1.301064,-3.141593,0.764159,0.963842
-1.237597,-3.141593,0.746449,0.945001
-1.174131,-3.141593,0.727891,0.922354
-1.110664,-3.141593,0.708403,0.895994
-1.047198,-3.141593,0.687886,0.866025
-0.983731,-3.141593,0.666224,0.832570
-0.920265,-3.141593,0.643285,0.795762
-0.856798,-3.141593,0.618907,0.755750
-0.793331,-3.141593,0.592901,0.712694
-0.729865,-3.141593,0.565041,0.666769
-0.666398,-3.141593,0.535046,0.618159
-0.602932,-3.141593,0.502193,0.567060
-0.539465,-3.141593,0.465804,0.513677
-0.475999,-3.141593,0.425317,0.458227
-0.412532,-3.141593,0.380014,0.400931
-0.349066,-3.141593,0.329942,0.342020
-0.285599,-3.141593,0.277571,0.281733
-0.222133,-3.141593,0.222470,0.220311
-0.158666,-3.141593,0.163790,0.158001
-0.095200,-3.141593,0.100481,0.095056
-0.031733,-3.141593,0.031194,0.031728
0.031733,-3.141593,-0.043843,-0.031728
0.095200,-3.141593,-0.117463,-0.095056
0.158666,-3.141593,-0.186803,-0.158001
0.222133,-3.141593,-0.249741,-0.220311
0.285599,-3.141593,-0.307359,-0.281733
0.349066,-3.141593,-0.360498,-0.342020
0.412532,-3.141593,-0.409809,-0.400931
0.475999,-3.141593,-0.455814,-0.458227
0.539465,-3.141593,-0.498927,-0.513677
0.602932,-3.141593,-0.539307,-0.567060
0.666398,-3.141593,-0.576912,-0.618159
0.729865,-3.141593,-0.612067,-0.666769
0.793331,-3.141593,-0.645046,-0.712694
0.856798,-3.141593,-0.676071,-0.755750
0.920265,-3.141593,-0.705316,-0.795762
0.983731,-3.141593,-0.732921,-0.832570
1.047198,-3.141593,-0.758993,-0.866025
1.110664,-3.141593,-0.783609,-0.895994
1.174131,-3.141593,-0.806820,-0.922354
1.237597,-3.141593,-0.828650,-0.945001
1.301064,-3.141593,-0.848844,-0.963842
1.364530,-3.141593,-0.866069,-0.978802
1.427997,-3.141593,-0.880380,-0.989821
1.491463,-3.141593,-0.891988,-0.996855
1.554930,-3.141593,-0.900901,-0.999874
1.618396,-3.141593,-0.907161,-0.998867
1.681863,-3.141593,-0.910809,-0.993838
1.745329,-3.141593,-0.911826,-0.984808
1.808796,-3.141593,-0.910119,-0.971812
1.872262,-3.141593,-0.905520,-0.954902
1.935729,-3.141593,-0.897766,-0.934148
1.999195,-3.141593,-0.886283,-0.909632
2.062662,-3.141593,-0.870393,-0.881453
2.126128,-3.141593,-0.849720,-0.849725
2.189595,-3.141593,-0.829287,-0.814576
2.253061,-3.141593,-0.810428,-0.776146
2.316528,-3.141593,-0.792650,-0.734592
2.379994,-3.141593,-0.775498,-0.690079
2.443461,-3.141593,-0.758534,-0.642788
2.506927,-3.141593,-0.741320,-0.592908
2.570394,-3.141593,-0.723391,-0.540641
2.633861,-3.141593,-0.704255,-0.486197
2.697327,-3.141593,-0.685542,-0.429795
2.760794,-3.141593,-0.668519,-0.371662
2.824260,-3.141593,-0.653074,-0.312033
2.887727,-3.141593,-0.639089,-0.251148
2.951193,-3.141593,-0.626440,-0.189251
3.014660,-3.141593,-0.615004,-0.126592
3.078126,-3.141593,-0.604657,-0.063424
3.141593,-3.141593,-0.595277,0.000000
-3.141593,-3.078126,0.675084,0.000000
-3.078126,-3.078126,0.683022,0.063296
-3.014660,-3.078126,0.691765,0.126338
-2.951193,-3.078126,0.700729,0.188870
-2.887727,-3.078126,0.709385,0.250642
-2.824260,-3.078126,0.717807,0.311405
-2.760794,-3.078126,0.726066,0.370914
-2.697327,-3.078126,0.734230,0.428930
-2.633861,-3.078126,0.742369,0.485218
-2.570394,-3.078126,0.750554,0.539552
-2.506927,-3.078126,0.758861,0.591714
-2.443461,-3.078126,0.767370,0.641493
-2.379994,-3.078126,0.776175,0.688690
-2.316528,-3.078126,0.785377,0.733113
-2.253061,-3.078126,0.795095,0.774584
-2.189595,-3.078126,0.805471,0.812936
-2.126128,-3.078126,0.815566,0.848015
-2.062662,-3.078126,0.823005,0.879679
-1.999195,-3.078126,0.827891,0.907801
-1.935729,-3.078126,0.830370,0.932267
-1.872262,-3.078126,0.830848,0.952980
-1.808796,-3.078126,0.829595,0.969855
-1.745329,-3.078126,0.826645,0.982825
-1.681863,-3.078126,0.822001,0.991838
-1.618396,-3.078126,0.815633,0.996856
-1.554930,-3.078126,0.807482,0.997861
-1.491463,-3.078126,0.797456,0.994848
-1.427997,-3.078126,0.785424,0.987829
-1.364530,-3.078126,0.771210,0.976832
